seguro_id,seguro_nombre,seguro_alias,seguro_ciudad,seguro_provincia,seguro_web,seguro_telefono,seguro_mail
34-50004533-9,San Cristobal Sociedad Mutual De Seguros Generales,SAN CRISTOBAL,46,20,https://www.sancristobal.com.ar/,3414202000,juan.esteybar@gruposancristobal.com
30-50004946-0,Sancor Cooperativa De Seguros Ltda,SANCOR,61,20,https://www.sancorseguros.com.ar/,3493510404,mtorre@ext.sancorseguros.com
30-50005536-3,Segurometal Cooperativa De Seguros Ltda,SEGUROMETAL,46,20,https://www.segurometal.com/,3414229100,tibaldisegurometal@yahoo.com
30-50003196-0,SMG Compania Argentina De Seguros S.A.,SMG,4,1,https://www.swissmedicalseguros.com/,8103333013,smgsegurosproveedores@swissmedical.com.ar
30-50000012-7,Seguros Sura S.A.,GALICIA (EX SURA),4,1,https://www.galicia.ar/personas,1144398558,cristina.arias@galiciaseguros.com.ar
30-70801747-3,TPC Compania De Seguros S.A.,TPC,4,1,https://tpcseguros.com/,1136676629,fjuan@tpcseguros.com
30-50006577-6,Triunfo Cooperativa De Seguros Ltda,TRIUNFO,30,12,https://triunfoseguros.com/,1149770233,dgordillo@triunfoseguros.com
30-50003226-6,Compania Argentina De Seguros Victoria S.A.,VICTORIA,4,1,https://www.victoria.com.ar/,1150681100,carnero@victoria.com.ar
30-50003639-3,Zurich Aseguradora Argentina S.A.,QBE ZURICH,4,1,https://www.zurichqbe.com.ar/,1148191000,gestiondeproveedores@zurichqbe.com
30-50004977-0,Zurich Argentina Compania De Seguros S.A.,ZURICH,4,1,https://www.zurich.com.ar/,1148191000,gestiondeproveedores@zurich.com
